,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
0,D,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0.0,4.0
1,A,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0.0,1.0
2,D,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0.0,1.0
3,D,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0.0,-9.0
4,D,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0.0,2.0
5,A,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0.0,7.0
6,A,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0.0,7.0
7,H,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0.0,3.0
8,H,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0.0,-12.0
9,A,0.0,0.0,M,M,M,M,M,M,0.0,0.0,0.0,17.0
10,A,0.5,0.5,D,M,M,D,M,M,0.0,0.0,0.0,4.0
11,H,0.0,0.5,L,M,M,D,M,M,-1.0,0.0,-0.5,2.0
12,H,1.5,0.0,W,M,M,L,M,M,1.0,-0.5,1.5,-7.0
13,H,0.5,0.0,D,M,M,L,M,M,0.0,-1.0,0.5,-13.0
14,H,1.5,0.5,W,M,M,D,M,M,1.0,0.0,1.0,-7.0
15,D,0.0,1.5,L,M,M,W,M,M,-1.0,1.0,-1.5,-4.0
16,H,1.5,0.5,W,M,M,D,M,M,1.0,0.0,1.0,2.0
17,H,0.5,0.0,D,M,M,L,M,M,0.0,-1.0,0.5,1.0
18,A,0.5,0.0,D,M,M,L,M,M,0.0,-1.0,0.5,2.0
19,H,1.5,1.5,W,M,M,W,M,M,0.5,1.0,0.0,-1.0
20,A,0.3333333333333333,0.3333333333333333,L,D,M,L,D,M,-0.3333333333333333,-0.6666666666666666,0.0,5.0
21,D,0.0,0.3333333333333333,L,L,M,L,D,M,-1.0,-0.3333333333333333,-0.3333333333333333,6.0
22,A,0.0,1.3333333333333333,L,L,M,W,D,M,-1.0,0.3333333333333333,-1.3333333333333333,10.0
23,H,1.0,0.3333333333333333,L,W,M,L,D,M,0.3333333333333333,-0.3333333333333333,0.6666666666666666,-11.0
24,D,1.0,2.0,W,L,M,W,W,M,-0.3333333333333333,1.3333333333333333,-1.0,6.0
25,H,0.3333333333333333,0.3333333333333333,L,D,M,D,L,M,-0.3333333333333333,-0.6666666666666666,0.0,-8.0
26,H,2.0,1.3333333333333333,W,W,M,W,D,M,0.6666666666666666,0.3333333333333333,0.6666666666666666,-16.0
27,H,0.3333333333333333,1.0,L,D,M,W,L,M,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,-5.0
28,H,0.3333333333333333,1.0,L,D,M,W,L,M,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,9.0
29,H,1.3333333333333333,0.0,W,D,M,L,L,M,0.3333333333333333,-1.0,1.3333333333333333,-8.0
30,A,1.75,2.25,D,W,W,W,W,W,1.0,1.5,-0.5,8.0
31,A,1.0,0.25,L,W,D,L,L,D,-0.75,-1.0,0.75,5.0
32,A,1.0,1.0,L,D,W,W,L,D,0.25,0.25,0.0,12.0
33,H,0.75,0.0,W,L,L,L,L,L,-0.25,-1.0,0.75,0.0
34,A,1.0,2.25,W,L,D,W,W,W,0.25,1.5,-1.25,-4.0
35,A,0.25,2.25,L,D,L,W,W,W,-1.0,1.25,-2.0,11.0
36,A,0.25,2.25,L,L,D,W,W,W,-1.0,1.5,-2.0,1.0
37,H,2.25,0.0,W,W,W,L,L,L,1.5,-1.0,2.25,-17.0
38,A,0.75,0.25,L,W,L,D,L,L,-0.5,-0.75,0.5,-12.0
39,D,2.25,1.75,W,W,W,W,W,D,1.25,0.5,0.5,-5.0
40,H,0.8,1.2,L,W,L,L,W,L,-0.4,0.6,0.0,5.0
41,D,0.2,0.8,L,L,D,W,L,L,-1.2,-0.6,-0.4,1.0
42,D,1.4,1.2,L,D,W,D,D,W,0.4,0.2,-0.2,4.0
43,A,0.8,1.2,L,L,W,W,W,L,-0.8,0.0,-0.6,-1.0
44,D,1.4,0.8,W,W,L,L,D,W,0.4,-0.4,0.4,-9.0
45,H,1.4,1.0,W,L,D,W,D,L,1.0,0.0,0.0,8.0
46,D,1.0,1.4,W,D,L,L,D,W,0.0,0.4,0.0,1.0
47,A,2.4,2.4,W,W,W,W,W,W,1.4,1.6,0.0,10.0
48,A,0.8,1.4,W,L,L,W,L,D,-0.6,1.0,-0.2,-5.0
49,D,0.2,0.8,L,D,L,W,L,L,-0.8,-0.6,-0.4,4.0
50,D,0.0,0.6666666666666666,L,L,L,L,L,L,-1.1666666666666667,-0.8333333333333334,0.0,1.0
51,A,0.8333333333333334,0.3333333333333333,D,L,D,D,L,L,-0.3333333333333333,-1.0,0.16666666666666666,1.0
52,D,1.1666666666666667,1.8333333333333333,D,D,D,D,D,W,0.16666666666666666,0.8333333333333334,-0.3333333333333333,2.0
53,A,1.8333333333333333,1.3333333333333333,D,W,W,D,W,W,0.5,0.3333333333333333,0.0,2.0
54,D,1.1666666666666667,1.1666666666666667,D,W,W,W,L,W,0.0,-0.16666666666666666,0.16666666666666666,11.0
55,H,1.5,0.5,W,L,W,L,L,L,0.8333333333333334,-0.8333333333333334,1.0,-2.0
56,D,0.6666666666666666,1.1666666666666667,L,W,L,D,D,D,-0.6666666666666666,0.16666666666666666,0.0,7.0
57,H,1.3333333333333333,0.6666666666666666,D,W,W,W,L,D,0.3333333333333333,-0.5,0.5,-10.0
58,H,2.5,0.8333333333333334,W,W,W,L,W,D,1.6666666666666667,-0.6666666666666666,0.8333333333333334,-9.0
59,A,0.5,1.1666666666666667,L,L,L,D,W,W,-0.8333333333333334,0.0,-1.1666666666666667,-14.0
60,A,1.5714285714285714,0.7142857142857143,L,D,D,L,D,L,0.5714285714285714,-0.7142857142857143,0.14285714285714285,-12.0
61,H,0.7142857142857143,1.5714285714285714,W,D,L,L,D,W,-0.42857142857142855,0.2857142857142857,0.0,6.0
62,A,0.7142857142857143,2.142857142857143,D,L,L,W,L,W,-0.7142857142857143,0.8571428571428571,-0.7142857142857143,6.0
63,D,1.5714285714285714,1.4285714285714286,D,W,W,D,W,L,0.8571428571428571,0.7142857142857143,0.42857142857142855,16.0
64,A,1.1428571428571428,0.14285714285714285,D,W,L,D,L,L,-0.14285714285714285,-1.0,0.42857142857142855,-11.0
65,H,1.2857142857142858,0.7142857142857143,D,D,L,L,D,W,0.2857142857142857,-0.5714285714285714,-0.2857142857142857,-4.0
66,H,0.7142857142857143,0.7142857142857143,L,D,L,D,L,L,-0.7142857142857143,-0.7142857142857143,0.0,-2.0
67,A,2.142857142857143,1.2857142857142858,W,L,W,D,D,L,0.8571428571428571,0.2857142857142857,0.5714285714285714,2.0
68,A,0.7142857142857143,1.5714285714285714,L,D,W,L,D,D,-0.5714285714285714,0.5714285714285714,0.2857142857142857,10.0
69,D,0.7142857142857143,0.7142857142857143,D,W,L,W,D,L,-0.42857142857142855,-0.42857142857142855,0.0,2.0
70,D,0.5,1.5,W,D,L,D,D,W,-0.625,0.75,-0.125,0.0
71,H,1.625,0.75,W,D,W,D,D,L,0.75,-0.5,0.625,-10.0
72,A,0.75,1.0,L,D,L,L,D,W,-0.625,-0.375,-0.375,3.0
73,A,1.25,2.625,W,L,D,W,W,W,-0.125,1.625,-0.625,4.0
74,H,1.375,0.375,L,L,D,L,L,L,0.125,-1.0,0.125,4.0
75,H,1.625,1.75,W,W,D,W,W,D,0.25,0.5,0.0,12.0
76,H,2.625,1.75,W,W,W,W,W,D,1.625,0.5,0.25,-5.0
77,H,1.25,1.0,W,L,D,W,L,D,-0.125,-0.5,0.0,-10.0
78,D,1.0,0.625,L,D,W,L,D,W,-0.375,-0.5,0.0,-9.0
79,A,0.5,1.75,W,D,L,W,L,D,-0.625,0.625,0.0,15.0
80,H,1.6666666666666667,0.3333333333333333,W,W,D,L,L,L,0.4444444444444444,-1.1111111111111112,0.7777777777777778,5.0
81,H,0.5555555555555556,1.4444444444444444,L,L,D,L,W,D,-0.8888888888888888,0.5555555555555556,-0.3333333333333333,15.0
82,H,1.7777777777777777,1.0,W,W,W,D,W,W,0.3333333333333333,-0.2222222222222222,0.2222222222222222,4.0
83,A,0.6666666666666666,0.6666666666666666,L,D,D,L,L,D,-0.5555555555555556,-0.6666666666666666,0.1111111111111111,2.0
84,H,1.5555555555555556,1.3333333333333333,W,L,L,L,D,D,0.3333333333333333,0.5555555555555556,0.1111111111111111,-10.0
85,D,1.7777777777777777,0.5555555555555556,D,L,W,L,L,L,0.5555555555555556,-0.6666666666666666,0.4444444444444444,-2.0
86,H,1.4444444444444444,1.5555555555555556,L,W,D,W,L,L,0.5555555555555556,0.3333333333333333,0.1111111111111111,-6.0
87,A,0.6666666666666666,1.7777777777777777,L,L,D,W,W,W,-0.6666666666666666,0.3333333333333333,-0.8888888888888888,-8.0
88,H,1.2222222222222223,0.6666666666666666,W,W,L,L,D,D,-0.2222222222222222,-0.5555555555555556,0.4444444444444444,3.0
89,H,0.5555555555555556,1.1111111111111112,L,L,L,L,W,L,-0.6666666666666666,-0.3333333333333333,-0.3333333333333333,8.0
90,D,1.8,1.8,D,W,W,W,W,W,0.7,0.6,-0.2,-6.0
91,A,0.7,1.9,D,D,L,W,D,L,-0.4,0.6,-0.2,5.0
92,H,1.4,0.8,L,L,W,W,L,L,-0.1,-0.7,0.0,-11.0
93,D,0.4,2.7,D,L,L,W,W,W,-1.0,2.0,-0.8,3.0
94,H,0.9,0.5,L,D,W,L,D,W,-0.3,-0.7,0.0,-4.0
95,H,1.5,1.2,W,L,D,D,W,L,0.6,-0.2,0.0,11.0
96,A,0.6,0.4,L,L,D,D,L,L,-0.6,-1.0,0.0,8.0
97,A,1.9,1.4,W,D,L,L,L,W,0.6,-0.1,0.1,5.0
98,H,2.7,1.1,W,W,W,L,W,W,2.0,-0.3,0.3,-14.0
99,H,1.3,1.5,W,L,W,W,L,D,-0.1,0.6,0.2,-13.0
100,H,1.0909090909090908,1.6363636363636365,L,D,W,L,D,W,-0.2727272727272727,0.36363636363636365,0.0,4.0
101,A,0.45454545454545453,0.6363636363636364,L,L,D,L,D,D,-0.7272727272727273,-0.45454545454545453,-0.09090909090909091,2.0
102,D,1.7272727272727273,1.5454545454545454,D,W,W,D,W,L,0.5454545454545454,0.5454545454545454,0.2727272727272727,7.0
103,H,2.0,0.8181818181818182,W,W,W,W,D,L,0.5454545454545454,-0.36363636363636365,0.45454545454545453,5.0
104,A,0.7272727272727273,1.0909090909090908,L,W,L,W,L,D,-0.8181818181818182,-0.18181818181818182,-0.09090909090909091,3.0
105,H,1.5454545454545454,0.8181818181818182,L,W,W,L,W,L,0.2727272727272727,-0.6363636363636364,0.2727272727272727,-2.0
106,H,1.5454545454545454,0.45454545454545453,D,W,L,L,L,D,0.5454545454545454,-0.7272727272727273,0.2727272727272727,-16.0
107,A,0.8181818181818182,1.4545454545454546,L,W,L,W,W,L,-0.6363636363636364,0.09090909090909091,-0.2727272727272727,5.0
108,H,1.2727272727272727,1.7272727272727273,W,L,W,L,W,D,-0.09090909090909091,0.45454545454545453,0.18181818181818182,4.0
109,H,0.8181818181818182,1.5454545454545454,W,D,L,L,W,W,-0.36363636363636365,0.2727272727272727,-0.18181818181818182,5.0
110,H,1.25,0.5,W,W,L,L,L,L,0.08333333333333333,-0.75,0.5,2.0
111,A,0.8333333333333334,2.0833333333333335,W,L,D,W,W,W,-0.16666666666666666,0.6666666666666666,-0.4166666666666667,-2.0
112,H,1.5,0.6666666666666666,W,L,W,L,L,W,0.4166666666666667,-1.0,0.25,1.0
113,H,0.8333333333333334,1.25,W,W,D,W,L,D,-0.6666666666666666,0.0,0.25,-3.0
114,H,1.75,2.5833333333333335,W,L,D,W,D,W,0.4166666666666667,1.8333333333333333,-0.25,2.0
115,H,1.6666666666666667,1.6666666666666667,W,W,L,D,D,W,0.16666666666666666,0.5,0.08333333333333333,-3.0
116,A,1.5833333333333333,1.75,L,L,W,W,L,D,0.16666666666666666,0.4166666666666667,-0.08333333333333333,8.0
117,H,2.5833333333333335,1.25,W,D,W,W,W,L,1.8333333333333333,0.08333333333333333,0.08333333333333333,-13.0
118,H,1.5833333333333333,0.8333333333333334,W,W,W,W,L,D,0.3333333333333333,-0.16666666666666666,0.4166666666666667,-11.0
119,D,1.6666666666666667,1.1666666666666667,W,L,W,L,W,L,0.4166666666666667,-0.25,0.25,-7.0
120,A,0.38461538461538464,0.6923076923076923,L,L,L,L,L,L,-1.0,-0.8461538461538461,0.0,8.0
121,H,0.6153846153846154,0.7692307692307693,L,L,L,L,W,W,-1.0,-0.9230769230769231,-0.46153846153846156,13.0
122,A,1.9230769230769231,1.7692307692307692,L,W,W,W,W,D,0.5384615384615384,0.6923076923076923,-0.07692307692307693,16.0
123,H,1.1538461538461537,0.9230769230769231,L,W,L,W,L,W,-0.07692307692307693,-0.3076923076923077,-0.23076923076923078,-6.0
124,D,1.5384615384615385,1.4615384615384615,L,D,D,D,W,L,0.38461538461538464,0.38461538461538464,-0.15384615384615385,-9.0
125,H,1.7692307692307692,1.3076923076923077,W,W,D,W,L,W,0.6923076923076923,0.0,0.07692307692307693,-13.0
126,H,0.6923076923076923,1.4615384615384615,L,L,L,L,L,L,-0.8461538461538461,0.0,0.0,-1.0
127,A,1.5384615384615385,1.6923076923076923,L,W,L,W,W,W,0.3076923076923077,0.38461538461538464,-0.46153846153846156,3.0
128,A,0.7692307692307693,2.3846153846153846,L,W,L,L,W,D,-0.3076923076923077,1.6153846153846154,-0.07692307692307693,15.0
129,A,0.38461538461538464,0.46153846153846156,L,L,L,L,L,L,-1.0,-0.7692307692307693,0.0,6.0
130,A,1.7857142857142858,1.5,L,L,W,D,L,D,0.42857142857142855,0.35714285714285715,0.07142857142857142,9.0
131,H,0.9285714285714286,1.2857142857142858,W,L,W,L,W,W,-0.7857142857142857,-0.07142857142857142,0.0,-10.0
132,H,0.8571428571428571,1.6428571428571428,L,W,L,L,W,W,-0.35714285714285715,0.14285714285714285,-0.21428571428571427,7.0
133,D,1.2857142857142858,0.7857142857142857,W,L,W,W,L,L,0.0,-0.6428571428571429,0.21428571428571427,-10.0
134,A,1.3571428571428572,1.9285714285714286,L,D,W,W,W,W,0.2857142857142857,0.5714285714285714,-0.35714285714285715,15.0
135,A,0.35714285714285715,1.7857142857142858,L,L,L,W,W,W,-1.0714285714285714,0.5,-0.6428571428571429,13.0
136,A,1.2857142857142858,0.9285714285714286,D,W,L,W,L,W,0.0,-0.7857142857142857,-0.14285714285714285,11.0
137,H,1.6428571428571428,1.8571428571428572,L,W,W,W,W,W,0.14285714285714285,0.8571428571428571,-0.21428571428571427,4.0
138,H,2.4285714285714284,1.2857142857142858,W,L,W,W,L,W,1.7142857142857142,0.0,0.0,-6.0
139,H,1.7857142857142858,1.7857142857142858,W,W,W,L,L,W,0.5,0.42857142857142855,0.42857142857142855,-13.0
140,H,2.0,0.6666666666666666,W,W,W,L,L,L,0.7333333333333333,-0.6,0.6,-13.0
141,D,1.2,1.0,L,L,W,W,W,L,-0.13333333333333333,-0.5333333333333333,-0.2,4.0
142,H,1.6,0.3333333333333333,W,D,L,L,L,L,0.4,-1.0666666666666667,0.26666666666666666,-9.0
143,D,0.8,1.0,D,W,L,W,L,W,-0.6,-0.26666666666666666,-0.13333333333333333,4.0
144,A,1.2666666666666666,1.4,L,L,L,L,D,L,-0.26666666666666666,0.2,-0.06666666666666667,3.0
145,A,0.6,1.4666666666666666,L,W,L,W,L,D,-0.6666666666666666,0.3333333333333333,-0.06666666666666667,-6.0
146,H,0.6,1.0,L,W,L,W,L,W,-0.6666666666666666,-0.26666666666666666,-0.2,-1.0
147,H,1.2,1.4666666666666666,L,D,W,W,L,D,-0.2,0.3333333333333333,0.0,-3.0
148,D,1.7333333333333334,1.0,W,L,W,W,W,L,0.26666666666666666,-0.5333333333333333,0.0,-4.0
149,H,1.2666666666666666,0.3333333333333333,L,L,L,L,L,L,-0.26666666666666666,-1.0666666666666667,0.0,-7.0
150,H,2.5,1.5625,W,W,W,L,L,L,1.6875,0.125,0.5625,-17.0
151,H,1.9375,1.1875,W,W,W,L,D,W,0.75,-0.0625,0.3125,-2.0
152,H,1.1875,1.625,D,L,L,L,L,W,-0.125,0.5625,-0.125,12.0
153,H,0.8125,1.5,D,D,W,W,L,D,-0.5625,0.375,0.0625,9.0
154,D,1.9375,1.0625,D,W,W,D,W,W,0.6875,-0.5625,0.0,-1.0
155,H,1.6875,0.625,W,W,D,L,L,L,0.4375,-0.75,0.4375,-7.0
156,A,1.0625,1.375,D,W,W,L,W,L,-0.5625,0.25,0.25,-14.0
157,H,1.9375,1.5625,D,W,W,L,L,L,0.6875,0.125,0.4375,-15.0
158,A,1.0,1.9375,D,W,W,D,W,W,-0.5,0.6875,0.0,7.0
159,A,1.0625,1.6875,D,W,W,D,W,L,-0.5625,0.25,0.1875,-2.0
160,H,0.9411764705882353,1.2352941176470589,L,D,W,W,L,L,-0.29411764705882354,-0.23529411764705882,0.058823529411764705,-2.0
161,H,1.411764705882353,0.7058823529411765,L,W,L,L,W,L,0.23529411764705882,-0.7058823529411765,0.0,-4.0
162,H,0.5882352941176471,0.9411764705882353,L,L,L,W,D,D,-0.8235294117647058,-0.4117647058823529,-0.29411764705882354,-1.0
163,A,1.4705882352941178,1.2941176470588236,W,L,W,W,D,L,0.29411764705882354,-0.058823529411764705,0.11764705882352941,4.0
164,H,1.4705882352941178,1.2941176470588236,L,L,L,L,W,L,-0.11764705882352941,-0.29411764705882354,-0.17647058823529413,7.0
165,A,1.5294117647058822,2.5294117647058822,L,L,L,W,W,W,0.4117647058823529,1.6470588235294117,-0.5294117647058824,1.0
166,D,1.1176470588235294,1.7647058823529411,L,L,D,W,W,W,-0.17647058823529413,0.5294117647058824,-0.47058823529411764,-2.0
167,H,1.0,1.0,D,D,W,L,D,W,-0.47058823529411764,-0.5882352941176471,0.058823529411764705,6.0
168,A,1.2941176470588236,1.5294117647058822,L,W,L,L,L,L,-0.29411764705882354,0.4117647058823529,0.17647058823529413,9.0
169,H,2.5294117647058822,0.9411764705882353,W,W,W,L,D,W,1.6470588235294117,-0.29411764705882354,0.29411764705882354,-12.0
170,H,2.0555555555555554,1.3888888888888888,W,W,W,W,W,D,0.8888888888888888,0.05555555555555555,0.1111111111111111,-9.0
171,H,2.0555555555555554,0.8888888888888888,W,W,D,L,W,D,0.9444444444444444,-0.4444444444444444,0.16666666666666666,-14.0
172,A,1.1111111111111112,1.1666666666666667,D,L,L,L,W,L,-0.16666666666666666,-0.2777777777777778,-0.1111111111111111,-8.0
173,D,0.7222222222222222,1.3888888888888888,W,L,L,L,W,L,-0.7222222222222222,0.16666666666666666,0.0,-2.0
174,D,0.2777777777777778,1.7222222222222223,L,L,L,D,W,D,-1.1666666666666667,0.4444444444444444,-0.2777777777777778,12.0
175,H,1.7222222222222223,0.6666666666666666,D,W,W,L,L,W,0.5,-0.7777777777777778,0.2222222222222222,-3.0
176,H,1.5555555555555556,1.5,W,L,L,W,L,W,0.05555555555555555,0.3888888888888889,-0.16666666666666666,10.0
177,H,1.6111111111111112,0.7222222222222222,W,L,L,W,L,L,0.4444444444444444,-0.7222222222222222,0.0,-14.0
178,D,0.6666666666666666,2.0555555555555554,L,L,W,W,W,D,-0.7777777777777778,0.9444444444444444,-0.2222222222222222,9.0
179,A,0.9444444444444444,2.0555555555555554,L,L,D,W,W,W,-0.7777777777777778,0.8888888888888888,-0.4444444444444444,-1.0
180,D,1.0,1.0526315789473684,L,W,L,W,L,D,-0.2631578947368421,-0.3157894736842105,-0.05263157894736842,3.0
181,A,1.4210526315789473,2.5789473684210527,L,W,L,W,W,W,0.3157894736842105,1.631578947368421,-0.3157894736842105,7.0
182,H,0.8421052631578947,1.7894736842105263,L,L,W,W,D,W,-0.5789473684210527,0.5789473684210527,-0.21052631578947367,8.0
183,A,1.368421052631579,1.631578947368421,D,L,W,W,W,L,0.15789473684210525,0.10526315789473684,-0.10526315789473684,0.0
184,D,1.0526315789473684,1.6842105263157894,W,L,D,W,W,L,-0.3157894736842105,0.631578947368421,-0.10526315789473684,8.0
185,H,1.3157894736842106,1.368421052631579,W,L,L,D,L,W,-0.21052631578947367,0.15789473684210525,-0.05263157894736842,-7.0
186,H,2.5789473684210527,0.6842105263157895,W,W,W,D,L,L,1.631578947368421,-0.7368421052631579,0.42105263157894735,-11.0
187,H,2.1052631578947367,0.8421052631578947,W,W,W,L,L,W,0.8947368421052632,-0.5789473684210527,0.3157894736842105,-12.0
188,H,2.1052631578947367,1.631578947368421,W,W,W,L,D,W,1.0526315789473684,0.2631578947368421,0.2631578947368421,-3.0
189,D,1.0526315789473684,1.4210526315789473,L,D,L,L,W,L,-0.2631578947368421,0.3157894736842105,-0.10526315789473684,-1.0
190,H,0.7,1.0,L,D,W,D,L,W,-0.85,-0.25,0.0,3.0
191,A,0.3,0.85,L,D,L,L,L,L,-1.1,-1.0,0.05,14.0
192,H,1.7,1.25,L,W,D,L,L,W,0.45,-0.15,0.05,-5.0
193,A,1.7,1.35,W,W,W,W,W,L,0.2,0.0,0.15,3.0
194,H,0.65,1.7,L,D,L,W,W,W,-0.8,0.2,-0.4,-6.0
195,H,1.35,0.7,W,W,L,L,D,W,0.0,-0.85,0.1,-1.0
196,D,1.6,2.05,D,L,D,D,W,W,0.25,0.85,-0.25,1.0
197,H,0.85,1.25,L,L,L,L,W,L,-1.0,-0.3,-0.15,-7.0
198,H,1.0,0.3,D,L,W,L,D,L,-0.25,-1.1,0.15,-5.0
199,D,1.25,1.05,L,L,W,D,L,D,-0.15,-0.25,0.05,7.0
200,A,0.9047619047619048,1.0476190476190477,L,W,L,D,D,W,-0.47619047619047616,-0.2857142857142857,-0.09523809523809523,7.0
201,A,1.2380952380952381,2.619047619047619,L,L,D,W,W,W,-0.047619047619047616,1.619047619047619,-0.38095238095238093,17.0
202,D,1.619047619047619,2.0952380952380953,D,D,W,W,D,W,0.5714285714285714,1.0952380952380953,-0.09523809523809523,-1.0
203,A,1.3333333333333333,1.7619047619047619,D,L,L,W,L,W,0.23809523809523808,0.5238095238095238,-0.23809523809523808,-1.0
204,H,1.619047619047619,1.0476190476190477,D,D,W,D,D,L,0.5714285714285714,-0.23809523809523808,0.14285714285714285,-5.0
205,A,1.0476190476190477,1.2380952380952381,D,D,W,L,L,D,-0.2857142857142857,-0.047619047619047616,0.19047619047619047,-8.0
206,D,1.4285714285714286,1.5714285714285714,W,W,W,D,D,L,0.047619047619047616,0.23809523809523808,0.3333333333333333,9.0
207,H,1.3333333333333333,0.7619047619047619,W,L,W,W,L,D,-0.19047619047619047,-0.6666666666666666,0.09523809523809523,-1.0
208,H,0.9523809523809523,1.2380952380952381,L,D,L,D,L,L,-0.2857142857142857,-0.14285714285714285,0.0,-1.0
209,H,2.0952380952380953,1.7619047619047619,W,D,W,W,L,W,0.8571428571428571,0.5238095238095238,0.047619047619047616,-4.0
210,H,1.2727272727272727,2.0454545454545454,L,D,L,D,W,D,0.13636363636363635,1.0454545454545454,-0.18181818181818182,5.0
211,A,0.7727272727272727,1.0454545454545454,L,W,L,W,W,L,-0.7727272727272727,-0.7727272727272727,-0.13636363636363635,12.0
212,A,0.2727272727272727,2.6363636363636362,L,L,L,W,W,W,-1.0909090909090908,1.6363636363636365,-0.4090909090909091,17.0
213,A,1.5454545454545454,0.8636363636363636,L,L,W,L,L,W,-0.045454545454545456,-0.5,0.0,1.0
214,H,0.7272727272727273,0.7727272727272727,L,W,L,L,W,L,-0.7272727272727273,-0.7727272727272727,0.0,-4.0
215,H,1.6363636363636365,1.2727272727272727,W,D,D,L,D,L,0.3181818181818182,0.13636363636363635,0.18181818181818182,-2.0
216,H,1.0454545454545454,1.6818181818181819,W,W,L,W,D,D,-0.7727272727272727,0.8636363636363636,0.045454545454545456,2.0
217,A,1.0,1.5454545454545454,L,D,D,L,L,W,-0.5454545454545454,-0.045454545454545456,-0.045454545454545456,-11.0
218,A,1.1818181818181819,1.4090909090909092,L,D,L,D,W,W,-0.18181818181818182,0.045454545454545456,-0.2727272727272727,-1.0
219,D,1.8181818181818181,1.1363636363636365,W,W,L,W,D,D,0.5909090909090909,-0.22727272727272727,0.045454545454545456,-1.0
220,A,0.9565217391304348,0.391304347826087,W,L,L,W,L,L,-0.43478260869565216,-1.0,0.0,-1.0
221,D,2.652173913043478,1.3043478260869565,W,W,W,D,D,W,1.608695652173913,-0.17391304347826086,0.17391304347826086,-10.0
222,H,1.9565217391304348,1.9565217391304348,L,D,W,D,L,W,0.9130434782608695,0.7391304347826086,0.0,-2.0
223,H,1.2608695652173914,1.1304347826086956,W,L,L,W,W,L,-0.08695652173913043,-0.17391304347826086,-0.13043478260869565,5.0
224,D,1.3043478260869565,0.9565217391304348,D,D,W,W,L,L,-0.17391304347826086,-0.43478260869565216,0.08695652173913043,-6.0
225,H,1.1304347826086956,1.7391304347826086,W,W,L,L,W,W,-0.17391304347826086,0.5217391304347826,0.0,4.0
226,A,0.391304347826087,0.9565217391304348,W,L,L,L,L,D,-1.0,-0.5652173913043478,0.08695652173913043,11.0
227,D,1.4782608695652173,1.1304347826086956,L,L,L,W,W,W,-0.08695652173913043,-0.6956521739130435,-0.391304347826087,14.0
228,A,1.608695652173913,1.2608695652173914,L,W,D,W,L,L,0.782608695652174,-0.08695652173913043,0.043478260869565216,-16.0
229,D,1.0869565217391304,2.652173913043478,L,W,D,W,W,W,-0.2608695652173913,1.608695652173913,-0.21739130434782608,9.0
230,H,1.5416666666666667,2.0,W,W,D,W,L,D,0.125,0.9166666666666666,0.125,12.0
231,D,1.875,0.8333333333333334,L,D,L,D,W,L,0.625,-0.4583333333333333,-0.125,-7.0
232,H,1.2916666666666667,1.0833333333333333,L,W,L,L,L,L,0.125,-0.3333333333333333,0.125,-6.0
233,D,0.7083333333333334,1.5833333333333333,L,L,L,D,D,W,-0.9583333333333334,0.2916666666666667,-0.20833333333333334,10.0
234,A,0.8333333333333334,1.5416666666666667,D,W,L,L,L,W,-0.4583333333333333,0.7083333333333334,0.041666666666666664,10.0
235,D,1.5833333333333333,1.5416666666666667,D,D,W,W,L,L,0.2916666666666667,-0.041666666666666664,0.08333333333333333,-12.0
236,H,1.2083333333333333,1.2916666666666667,W,W,W,L,W,L,-0.625,0.125,0.25,-4.0
237,H,2.0,1.0833333333333333,W,L,D,L,W,W,0.9166666666666666,-0.20833333333333334,-0.08333333333333333,-10.0
238,A,1.0416666666666667,1.0833333333333333,W,L,L,D,L,W,-0.4166666666666667,-0.25,-0.041666666666666664,-3.0
239,H,1.0833333333333333,0.7083333333333334,L,L,L,L,L,L,-0.3333333333333333,-0.9583333333333334,0.0,-2.0
240,H,0.92,1.48,D,L,W,L,W,W,-0.44,0.04,-0.08,2.0
241,H,1.4,0.36,W,W,W,L,L,W,0.0,-1.12,0.24,0.0
242,H,2.52,1.8,D,D,W,L,L,D,1.48,0.52,0.16,-4.0
243,H,1.64,1.32,L,D,L,W,L,D,0.44,-0.16,-0.12,-2.0
244,H,1.32,1.8,W,L,D,L,L,D,-0.16,0.52,0.12,6.0
245,D,1.6,1.56,W,L,L,D,D,D,0.76,0.28,0.0,-4.0
246,A,1.08,1.16,D,D,L,W,L,L,-0.24,-0.24,-0.04,-4.0
247,H,1.2,1.48,D,W,W,L,W,W,-0.6,0.04,0.04,-11.0
248,H,1.16,0.92,W,L,W,D,L,W,-0.16,-0.44,0.08,-4.0
249,H,1.0,2.52,L,W,L,D,D,W,-0.56,1.48,-0.08,6.0
250,A,0.6923076923076923,1.9615384615384615,L,D,L,W,L,W,-0.9615384615384616,0.8846153846153846,-0.19230769230769232,13.0
